"FindingId","CollectorId","Layer","Severity","SeverityRank","Category","Title","Asset","Detail","Evidence","Criterios","CriteriosTexto","Recommendation","Host","DetectedAt"
"L1-01-E857BE8A","L1-01","L1","Medium","3","Firmware","Firmware BIOS/UEFI con antiguedad superior a 4 anios","OpenStack Foundation OpenStack Nova","Fecha de version del BIOS: 2014-03-31 (4521 dias). El firmware desactualizado puede contener vulnerabilidades sin corregir.","BIOSVersion=BOCHS  - 1 Intel IGD BDSM enabled at 0x%08x, size %lldMB, dev 00:02.0","VUL-01; ARQ-01","VUL-01; ARQ-01","Revisar el catalogo de firmware del fabricante e incorporar el firmware al ciclo formal de gestion de parches.","SRV-SAP","2026-08-17T11:02:42"
"L1-01-9E05F4AC","L1-01","L1","Low","2","Gobierno","Servidor fuera de dominio (workgroup)","SRV-SAP","El equipo no pertenece a un dominio, por lo que no recibe politicas de grupo centralizadas.","","ARQ-01; ACC-04","ARQ-01; ACC-04","Confirmar si el aislamiento es intencional. De no serlo, incorporar al dominio o aplicar una linea base local equivalente y auditable.","SRV-SAP","2026-08-17T11:02:42"
