"Capa","Nombre","Descripcion","Peso","Orden","Colectores","ColectoresOK","Registros","Hallazgos","Criticos","Altos","Medios","Bajos","PuntajeRiesgo"
"L7","Red y exposicion","Puertos en escucha, firewall, recursos compartidos, protocolos heredados.","1.3","7","0","0","0","0","0","0","0","0","0"
"L6","Identidad y control de acceso","Cuentas locales, administradores, politica de contrasenas, RDP, privilegios.","1.4","6","0","0","0","0","0","0","0","0","0"
"L9","Rendimiento y capacidad","Estadisticas del servidor: CPU, memoria, disco, red, top de procesos.","0.9","9","0","0","0","0","0","0","0","0","0"
"L8","Datos, registro y resiliencia","Politica de auditoria, logs, respaldos, instantaneas, capacidad de disco.","1.1","8","0","0","0","0","0","0","0","0","0"
"L5","Servicios, procesos y persistencia","Servicios Windows, tareas programadas, autoarranque, procesos activos.","1.5","5","0","0","0","0","0","0","0","0","0"
"L2","Sistema operativo y hardening","Version de SO, parches, configuracion de seguridad, antimalware, cifrado.","1.2","2","0","0","0","0","0","0","0","0","0"
"L1","Infraestructura fisica y hardware","Chasis, CPU, memoria, almacenamiento, firmware/BIOS, virtualizacion.","0.8","1","1","1","23","2","0","0","1","1","3.2"
"L4","Artefactos de software (PRIORIDAD)","Inventario de aplicaciones instaladas, gestores de paquetes, binarios no gestionados, integridad y ciclo de vida.","2","4","0","0","0","0","0","0","0","0","0"
"L3","Plataforma, runtimes y middleware",".NET, Java, Python, Node, IIS, bases de datos, servidores de aplicacion.","1.5","3","0","0","0","0","0","0","0","0","0"
