"Artefacto","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","CapaEA","RolArquitectonico","RolId","Alineacion","AplicacionNegocio","EnCatalogoEA","Propietario","Criticidad","Publicador","ServiciosAsociados","PuertosExpuestos","FechaInstalacion"
"Microsoft Visual C++ 2005 Redistributable (x64)","8.0.61000","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","","False","No determinada","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2023-05-25"
"SQL Server Management Studio 21","21.6.17","Sistema gestor de bases de datos, sus componentes cliente y controladores de acceso a datos.","Rol arquitectonico (generico)","C:\Program Files\Microsoft SQL Server Management Studio 21\Release","True","Registro: InstallLocation","Datos","Motor de base de datos","MotorBaseDatos","Alineado","","False","","","Microsoft Corporation","","","2025-11-03"
"DevExpress Components 24.2","24.2.7","IDE, compilador, SDK, biblioteca de componentes o utilitario de construccion de software.","Rol arquitectonico (generico)","C:\Program Files\DevExpress 24.2\Components","True","Registro: DisplayIcon","Tecnologia","Herramienta de desarrollo","HerramientaDesarrollo","NO ALINEADO","","False","","","Developer Express Inc.","","",""
"SAP Business One Crystal Report Integration Package","1.00.0000","Crystal Reports","Metadatos del binario","C:\Program Files (x86)\SAP BusinessObjects\SAP BusinessObjects Enterprise XI 4.0\win64_x64","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP AG","","","2023-10-23"
"BOERuntime For Business One (64 bit)","1.00.0000","SAP Business One","Metadatos del binario","C:\Program Files\SAP\SAP Business One","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP AG","","","2023-10-19"
"SAP Business One Client (64-bit)","","SAP Business One","Metadatos del binario","C:\Program Files\SAP\SAP Business One","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","","","2025-01-29"
"SAP Business One Data Transfer Workbench x64","1000.00.201","Your Comments","Registro: Comments","C:\Program Files\SAP\Data Transfer Workbench","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","","","2025-02-03"
"SAP Business One Browser Access Server Gatekeeper (64-bit)","100","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files\SAP\SAP Business One BAS GateKeeper","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","Gatekeeper64 [Running]","","2025-01-29"
"SAP Business One DI API (64-bit)","","POR VALIDAR: componentes SAP. El nombre del servidor (SRV-SAP) sugiere que este es su proposito principal; confirmar que modulos y componentes residen aqui.","Catalogo de arquitectura","C:\Program Files\SAP\SAP Business One DI API","True","Registro: InstallLocation","Aplicacion","Aplicacion de negocio","AplicacionNegocio","Alineado","SAP - Sistema de planificacion de recursos empresariales","True","DEFINIR","Alta","SAP","","","2025-01-29"
"Microsoft Edge","151.0.4129.78","Microsoft Edge","Metadatos del binario","C:\Program Files (x86)\Microsoft\Edge\Application","True","Registro: InstallLocation","Aplicacion","Navegador web","NavegadorWeb","NO ALINEADO","","False","","","Microsoft Corporation","MicrosoftEdgeElevationService [Running]","","2026-08-11"
