"Ruta","Nombre","Extension","TamanoKB","UltimaEscritura","Creado","EstadoFirma","Firmante","Compania","Producto","VersionArchivo","SHA256","Clasificacion","EnRutaGestionada"
"C:\Scripts\Audit\bootstrap.ps1","bootstrap.ps1",".ps1","3.1","2026-08-11 12:04","2026-08-11","NotSigned","","","","","CD17C6B555F761D60373659824BF805E1510538226E4C7028E19D7494937A333","Sin firma digital","False"
"C:\Scripts\Audit\Invoke-Audit.ps1","Invoke-Audit.ps1",".ps1","23.1","2026-08-11 15:04","2026-08-11","NotSigned","","","","","A919E5EEA781CF00F7EC6E84426825DEFD6ADD7A489F14855C0545ADBCE8059C","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L1-01_Hardware-Inventory.ps1","L1-01_Hardware-Inventory.ps1",".ps1","9.8","2026-08-11 12:19","2026-08-11","NotSigned","","","","","5DAB4AAB490B72A0FD079EA26CCAD16613025283951FC368A5C171F34CCA5336","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L2-01_OS-Baseline.ps1","L2-01_OS-Baseline.ps1",".ps1","10.7","2026-08-11 12:20","2026-08-11","NotSigned","","","","","89B7DA7B6E3A77F55BB222CED0A31ABA1D2D278C3D05DF4111F91EC1D70204AC","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L2-02_Patch-Level.ps1","L2-02_Patch-Level.ps1",".ps1","9.1","2026-08-11 12:21","2026-08-11","NotSigned","","","","","E25B42E260189102FB4F8008454303823E4A267511939350F1B1BE3190905ACE","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L2-03_Security-Config.ps1","L2-03_Security-Config.ps1",".ps1","19","2026-08-11 12:22","2026-08-11","NotSigned","","","","","AADA2F4246D190E127AE21B8951BFC94B0D70F63F33FCFF6401D9255D9706A57","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L3-01_Runtimes-Middleware.ps1","L3-01_Runtimes-Middleware.ps1",".ps1","13.8","2026-08-11 12:23","2026-08-11","NotSigned","","","","","3946D7AB3C5014FBBC3BC1809B0A426C628448AF2109B9225ECDB4D741ADEB33","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-01_Installed-Software.ps1","L4-01_Installed-Software.ps1",".ps1","15.4","2026-08-11 14:59","2026-08-11","NotSigned","","","","","50A06B4750A925B9887F305B505F70223AA556E1351FFE265D21FDF633320133","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-02_Package-Managers.ps1","L4-02_Package-Managers.ps1",".ps1","12.3","2026-08-11 12:25","2026-08-11","NotSigned","","","","","40049E88AE60BF4A740FA5A32B85BAAB7A8B81D89D7BC599D461E0AD9286EDF6","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-03_Unmanaged-Binaries.ps1","L4-03_Unmanaged-Binaries.ps1",".ps1","10.8","2026-08-11 12:26","2026-08-11","NotSigned","","","","","BB101453F46C808A3AFBAA15283E568F7080500D928750639DCA258EC551F800","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-04_Software-Integrity.ps1","L4-04_Software-Integrity.ps1",".ps1","8.9","2026-08-11 12:27","2026-08-11","NotSigned","","","","","B192D84B530DB873DD3CBF8E9EFE46CF548255133186C474437A26CBAAFEEF7F","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-05_Software-Lifecycle.ps1","L4-05_Software-Lifecycle.ps1",".ps1","7.8","2026-08-11 12:27","2026-08-11","NotSigned","","","","","B0D12B8FC1754C40BDC76AA392C094F3348EE2F36C2D38D9EF9E4C0590211AEE","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L4-06_EA-Baseline.ps1","L4-06_EA-Baseline.ps1",".ps1","18.5","2026-08-11 15:00","2026-08-11","NotSigned","","","","","E9CC5E681310600CE2E9C07CE4C0DF8AC98C89223DA24781EE6F5BB85A9B5D3C","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L5-01_Services.ps1","L5-01_Services.ps1",".ps1","8.4","2026-08-11 12:28","2026-08-11","NotSigned","","","","","172A5EFB284B57DB9366809F5A927679314DB89E155713AA1FA095C68BCE112D","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L5-02_Autoruns-Tasks.ps1","L5-02_Autoruns-Tasks.ps1",".ps1","10.7","2026-08-11 12:29","2026-08-11","NotSigned","","","","","C42DAC583BF8D75169CBDEFADE3561BB155B2D4479945D3850242D1E3F08BFE3","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L6-01_Identity-Access.ps1","L6-01_Identity-Access.ps1",".ps1","15.7","2026-08-11 12:30","2026-08-11","NotSigned","","","","","F3D85D467E6720F8AABB0B45E82E01C219DE7033AAF7DEFBFE63C530E082AA55","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L7-01_Network-Exposure.ps1","L7-01_Network-Exposure.ps1",".ps1","13.6","2026-08-11 12:31","2026-08-11","NotSigned","","","","","9EEB173460A8B41B485E68C765AA9B81B5D687E90F09B2164BD600B33AF6D410","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L8-01_Logging-Backup.ps1","L8-01_Logging-Backup.ps1",".ps1","13.7","2026-08-11 12:32","2026-08-11","NotSigned","","","","","C1B5A75CFCE5462346D202DF34962407416B8C634DCB67E9E36EBBB0C83131B7","Sin firma digital","False"
"C:\Scripts\Audit\Collectors\L9-01_Server-Stats.ps1","L9-01_Server-Stats.ps1",".ps1","12.8","2026-08-11 13:54","2026-08-11","NotSigned","","","","","DB4F38E376252F89FC6641D61CCF9006385343C04A411CF0C417207268BA3DD9","Sin firma digital","False"
"C:\Scripts\Audit\Reports\New-AuditReport.ps1","New-AuditReport.ps1",".ps1","35.6","2026-08-11 15:04","2026-08-11","NotSigned","","","","","3A4EDA8DD96141D559D84E7783882766DAF4B1BD5BE7EB8CB01AE292CAA3E004","Sin firma digital","False"
"C:\inetpub\AdminScripts\adsutil.vbs","adsutil.vbs",".vbs","95.8","2023-08-08 12:09","2023-08-08","NotApplicable","","","","","","Script sin mecanismo de firma","False"
"C:\inetpub\DeviceHealthAttestation\bin\hassrv.dll","hassrv.dll",".dll","204","2025-11-21 12:20","2025-11-21","Valid","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","Microsoft Corporation","Microsoft® Windows® Operating System","10.0.20348.4405 (WinBuild.160101.0800)","D6680880E7159A8FEB2201EB7316D1F479AD16ED37C1326745E0D90CCC599F71","Firmado - publicador confiable","False"
"D:\DevExpressNETComponentsSetup-24.2.7.exe","DevExpressNETComponentsSetup-24.2.7.exe",".exe","490703.8","2025-05-13 00:14","2026-05-19","Valid","CN=Developer Express Inc., O=Developer Express Inc., L=Glendale, S=California, C=US","","","","BCFBCCFA18765841C31367265402339187FA1575FC56D25E7763EB8CF25E99A4","Firmado - publicador no catalogado","False"
"D:\Instaladores Addon 2023 SAP 10\SSO.TRF.InstaladorAsientosContables.msi","SSO.TRF.InstaladorAsientosContables.msi",".msi","115093.5","2024-01-04 16:08","2023-12-10","NotSigned","","","","","B375297924A045D1B090686163F87622019535FE9B0F149349995DCEAD65179C","Sin firma digital","False"
