"Nombre","Version","Descripcion","OrigenDescripcion","RutaInstalacion","RutaVerificada","OrigenRuta","RolArquitectonico","RolId","CapaEA","AplicacionNegocio","Propietario","Criticidad","EnCatalogoEA","Publicador","FechaInstalacion","DiasDesdeInstalacion","Arquitectura","TipoPaquete","TamanoMB","Ambitos","Origen","ClaveRegistro","Soporte","Riesgo","CategoriaRiesgo"
"Microsoft.AsyncTextService","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.AsyncTextService_8wekyb3d8bbwe","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.AsyncTextService_10.0.20348.1_neutral__8wekyb3d8bbwe","","",""
"Microsoft.BioEnrollment","10.0.19585.1001","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.BioEnrollment_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.BioEnrollment_10.0.19585.1001_neutral__cw5n1h2txyewy","","",""
"Microsoft.CredDialogHost","10.0.19595.1001","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\microsoft.creddialoghost_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.CredDialogHost_10.0.19595.1001_neutral__cw5n1h2txyewy","","",""
"Microsoft.ECApp","10.0.20348.2849","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.ECApp_8wekyb3d8bbwe","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.ECApp_10.0.20348.2849_neutral__8wekyb3d8bbwe","","",""
"Microsoft.LockApp","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.LockApp_10.0.20348.1_neutral__cw5n1h2txyewy","","",""
"Microsoft.Win32WebViewHost","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Win32WebViewHost_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Win32WebViewHost_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.Apprep.ChxApp","1000.20348.1.0","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.Apprep.ChxApp_1000.20348.1.0_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.CapturePicker","10.0.19580.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.CapturePicker_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.CapturePicker_10.0.19580.1000_neutral__cw5n1h2txyewy","","",""
"Microsoft.Windows.CloudExperienceHost","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.CloudExperienceHost_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.NarratorQuickStart","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\microsoft.windows.narratorquickstart_8wekyb3d8bbwe","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Corporation, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.NarratorQuickStart_10.0.20348.1_neutral_neutral_8wekyb3d8bbwe","","",""
"Microsoft.Windows.OOBENetworkCaptivePortal","10.0.19580.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkCaptivePortal_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.OOBENetworkCaptivePortal_10.0.19580.1000_neutral__cw5n1h2txyewy","","",""
"Microsoft.Windows.OOBENetworkConnectionFlow","10.0.19581.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.OOBENetworkConnectionFlow_10.0.19581.1000_neutral__cw5n1h2txyewy","","",""
"Microsoft.Windows.PeopleExperienceHost","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.PeopleExperienceHost_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.PeopleExperienceHost_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.PinningConfirmationDialog","1000.20348.1.0","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.PinningConfirmationDialog_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.PinningConfirmationDialog_1000.20348.1.0_neutral__cw5n1h2txyewy","","",""
"Microsoft.Windows.Search","1.15.0.20348","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.Search_1.15.0.20348_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.SecHealthUI","10.0.20348.2849","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.SecHealthUI_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.SecHealthUI_10.0.20348.2849_neutral__cw5n1h2txyewy","","",""
"Microsoft.Windows.ShellExperienceHost","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.ShellExperienceHost_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.StartMenuExperienceHost","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.StartMenuExperienceHost_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Microsoft.Windows.XGpuEjectDialog","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Microsoft.Windows.XGpuEjectDialog_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Microsoft.Windows.XGpuEjectDialog_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"MicrosoftWindows.Client.CBS","120.27512.10351.0","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"X64","Appx/MSIX","0","Appx","Get-AppxPackage","MicrosoftWindows.Client.CBS_120.27512.10351.0_x64__cw5n1h2txyewy","","",""
"MicrosoftWindows.UndockedDevKit","10.0.20348.1","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\MicrosoftWindows.UndockedDevKit_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","MicrosoftWindows.UndockedDevKit_10.0.20348.1_neutral_neutral_cw5n1h2txyewy","","",""
"Windows.CBSPreview","10.0.19580.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\SystemApps\Windows.CBSPreview_cw5n1h2txyewy","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Windows.CBSPreview_10.0.19580.1000_neutral_neutral_cw5n1h2txyewy","","",""
"windows.immersivecontrolpanel","10.0.4.1000","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\ImmersiveControlPanel","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","windows.immersivecontrolpanel_10.0.4.1000_neutral_neutral_cw5n1h2txyewy","","",""
"Windows.PrintDialog","6.2.1.0","Actualizacion, caracteristica, paquete Appx o componente propio de Windows.","Rol arquitectonico (generico)","C:\Windows\PrintDialog","True","Appx: InstallLocation","Componente del sistema operativo","ComponenteSO","Tecnologia","","","","False","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US","",,"Neutral","Appx/MSIX","0","Appx","Get-AppxPackage","Windows.PrintDialog_6.2.1.0_neutral_neutral_cw5n1h2txyewy","","",""
"Notepad++ (64-bit x64)","8.9.2","Notepad++","Metadatos del binario","C:\Program Files\Notepad++","True","Registro: DisplayIcon","Herramienta de administracion","HerramientaAdministracion","Tecnologia","","","","False","Notepad++ Team","",,"x64","EXE/Otro","18.8","Machine-x64","Registry:Uninstall","Notepad++","https://notepad-plus-plus.org/","",""
"WinRAR 6.24 (64-bit)","6.24.0","WinRAR archiver","Metadatos del binario","C:\Program Files\WinRAR","True","Registro: InstallLocation","Herramienta de administracion","HerramientaAdministracion","Tecnologia","","","","False","win.rar GmbH","",,"x64","EXE/Otro","0","Machine-x64","Registry:Uninstall","WinRAR archiver","","",""
"Azure Data Studio","1.47.0","Azure Data Studio","Metadatos del binario","C:\Program Files\Azure Data Studio","True","Registro: InstallLocation","Herramienta de desarrollo","HerramientaDesarrollo","Tecnologia","","","","False","Microsoft Corporation","2023-12-09","977","x64","EXE/Otro","649.5","Machine-x64","Registry:Uninstall","{6591F69E-6588-4980-81ED-C8FCBD7EC4B8}_is1","https://github.com/Microsoft/azuredatastudio","",""
"DevExpress Components 24.2","24.2.7","IDE, compilador, SDK, biblioteca de componentes o utilitario de construccion de software.","Rol arquitectonico (generico)","C:\Program Files\DevExpress 24.2\Components","True","Registro: DisplayIcon","Herramienta de desarrollo","HerramientaDesarrollo","Tecnologia","","","","False","Developer Express Inc.","",,"x86","EXE/Otro","0","Machine-x86","Registry:Uninstall","DevExpress Components 24.2","","",""
"Microsoft Visual Studio Installer","3.14.2086.54749","Visual Studio Installer","Metadatos del binario","C:\Program Files (x86)\Microsoft Visual Studio\Installer","True","Registro: DisplayIcon","Herramienta de desarrollo","HerramientaDesarrollo","Tecnologia","","","","False","Microsoft Corporation","2025-11-03","282","x64","MSI","0","Machine-x64","Registry:Uninstall","{6F320B93-EE3C-4826-85E0-ADF79F8D4C61}","","",""
"Microsoft Visual Studio Tools for Applications 2017","15.0.27520","Microsoft Visual Studio Tools for Applications 2017","Metadatos del binario","C:\ProgramData\Package Cache\{f895a2f1-ae3f-4212-8af1-7fa1f8c212ea}","True","Registro: DisplayIcon","Herramienta de desarrollo","HerramientaDesarrollo","Tecnologia","","","","False","Microsoft Corporation","",,"x86","MSI","19.2","Machine-x86","Registry:Uninstall","{f895a2f1-ae3f-4212-8af1-7fa1f8c212ea}","","",""
"Microsoft Visual Studio Tools for Applications 2019","16.0.31110","Microsoft Visual Studio Tools for Applications 2019","Metadatos del binario","C:\ProgramData\Package Cache\{f3fbabb4-bcfb-45eb-8fff-9b784fd68c38}","True","Registro: DisplayIcon","Herramienta de desarrollo","HerramientaDesarrollo","Tecnologia","","","","False","Microsoft Corporation","",,"x86","MSI","14.2","Machine-x86","Registry:Uninstall","{f3fbabb4-bcfb-45eb-8fff-9b784fd68c38}","","",""
"vs_CoreEditorFonts","17.7.40001","IDE, compilador, SDK, biblioteca de componentes o utilitario de construccion de software.","Rol arquitectonico (generico)","","False","No determinada","Herramienta de desarrollo","HerramientaDesarrollo","Tecnologia","","","","False","Microsoft Corporation","2025-11-03","282","x86","MSI","0.7","Machine-x86","Registry:Uninstall","{1851460E-0E63-4117-B5BA-25A2F045801B}","","",""
"SMS-Agent-Py3","","Herramienta auxiliar de proposito general.","Rol arquitectonico (generico)","C:\SMS-Agent-Py3","True","Registro: UninstallString","Utilitario de sistema","UtilitarioSistema","Tecnologia","","","","False","Huawei Technologies Co., Ltd.","",,"x86","EXE/Otro","0","Machine-x86","Registry:Uninstall","SMS-Agent-Py3","","",""
