"Nombre","Version","Publicador","Estado","FechaFinSoporte","DiasDesdeEOL","Severidad","Nota","FechaInstalacion"
"Microsoft Visual C++ 2013 Redistributable (x86) - 12.0.40664","12.0.40664.0 / 12.0.21005.1 / 12.0.30501.0","Microsoft Corporation","Versiones multiples","",,"Low","Coexisten 3 versiones",""
"Microsoft Visual Studio Tools for Applications 2019","16.0.31110 / 15.0.27520","Microsoft Corporation","Versiones multiples","",,"Low","Coexisten 2 versiones",""
"[Proveedor] Microsoft Corporation","","Microsoft Corporation","Resumen de proveedor","",,"","28 productos instalados",""
"[Proveedor] SAP","","SAP","Resumen de proveedor","",,"","8 productos instalados",""
"[Proveedor] SAP AG","","SAP AG","Resumen de proveedor","",,"","2 productos instalados",""
"[Proveedor] Huawei Technologies Co., Ltd.","","Huawei Technologies Co., Ltd.","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] REVCOM","","REVCOM","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] Checkmk GmbH","","Checkmk GmbH","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] SAP Business Objects","","SAP Business Objects","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] Salesforce, Inc","","Salesforce, Inc","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] win.rar GmbH","","win.rar GmbH","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] OBS","","OBS","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] Notepad++ Team","","Notepad++ Team","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] Developer Express Inc.","","Developer Express Inc.","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] Default Company Name","","Default Company Name","Resumen de proveedor","",,"","1 productos instalados",""
"[Proveedor] VMware, Inc.","","VMware, Inc.","Resumen de proveedor","",,"","1 productos instalados",""
