"Grupo","Metrica","Valor","Unidad","Detalle","Estado"
"Disco","% disk time","0.08","","min=0.03 max=0.11 muestras=5","Info"
"CPU","% processor time","3.03","","min=2.33 max=3.4 muestras=5","Info"
"CPU","processor queue length","0","","min=0 max=0 muestras=5","Info"
"Sistema","context switches/sec","34743.91","","min=32861.61 max=36877.32 muestras=5","Info"
"Memoria","% committed bytes in use","81.79","","min=81.79 max=81.79 muestras=5","Info"
"Memoria","available mbytes","12716.4","","min=12712 max=12720 muestras=5","Info"
"Disco","avg. disk queue length","0","","min=0 max=0.01 muestras=5","Info"
"Memoria","TotalFisica","131071","MB","","Info"
"Memoria","EnUso","118346","MB","90.3% del total","Info"
"Memoria","Disponible","12725","MB","9.7% libre","ADVERTENCIA"
"Memoria","ArchivoPaginacion","21521","MB","","Info"
"TopMemoria","sqlservr","98922.5","MB","PID=5608 Hilos=161 Compania= Ruta=","Info"
"TopMemoria","tomcat8","1256.8","MB","PID=3504 Hilos=274 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","907.9","MB","PID=54800 Hilos=35 Compania= Ruta=","Info"
"TopMemoria","SSMS","845.7","MB","PID=24864 Hilos=67 Compania= Ruta=","Info"
"TopMemoria","SSMS","772.5","MB","PID=39092 Hilos=55 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","722.8","MB","PID=31044 Hilos=47 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","686.9","MB","PID=16592 Hilos=51 Compania= Ruta=","Info"
"TopMemoria","java","659.1","MB","PID=10328 Hilos=110 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","565.3","MB","PID=31600 Hilos=47 Compania= Ruta=","Info"
"TopMemoria","SAP Business One","541.5","MB","PID=16508 Hilos=51 Compania= Ruta=","Info"
"TopMemoria","claude","517.9","MB","PID=31144 Hilos=35 Compania=Anthropic PBC Ruta=C:\Users\svalle\.local\bin\claude.exe","Info"
"TopMemoria","MsMpEng","400.6","MB","PID=43228 Hilos=65 Compania= Ruta=","Info"
"TopMemoria","SSO.TRF.Controlador","339.7","MB","PID=37668 Hilos=18 Compania= Ruta=","Info"
"TopMemoria","SSO.TRF.Controlador","339.4","MB","PID=45932 Hilos=18 Compania= Ruta=","Info"
"TopMemoria","SSO.TRF.Controlador","338.3","MB","PID=23236 Hilos=19 Compania= Ruta=","Info"
"TopCPU","claude","685.6","seg CPU acumulados","PID=31144 Ruta=C:\Users\svalle\.local\bin\claude.exe","Info"
"TopCPU","conhost","77.2","seg CPU acumulados","PID=18480 Ruta=C:\Windows\system32\conhost.exe","Info"
"TopCPU","powershell","69.7","seg CPU acumulados","PID=41404 Ruta=C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","Info"
"TopCPU","explorer","49.3","seg CPU acumulados","PID=18692 Ruta=C:\Windows\Explorer.EXE","Info"
"TopCPU","SearchApp","9.5","seg CPU acumulados","PID=59208 Ruta=C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","Info"
"TopCPU","msedge","8.5","seg CPU acumulados","PID=51380 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","7.6","seg CPU acumulados","PID=51648 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","RuntimeBroker","5.3","seg CPU acumulados","PID=59240 Ruta=C:\Windows\System32\RuntimeBroker.exe","Info"
"TopCPU","msedge","3.2","seg CPU acumulados","PID=47556 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","msedge","2.2","seg CPU acumulados","PID=37032 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","OneDrive","2.1","seg CPU acumulados","PID=59820 Ruta=C:\Program Files\Microsoft OneDrive\OneDrive.exe","Info"
"TopCPU","rdpclip","1.8","seg CPU acumulados","PID=55648 Ruta=C:\Windows\System32\rdpclip.exe","Info"
"TopCPU","msedge","1.6","seg CPU acumulados","PID=24284 Ruta=C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","Info"
"TopCPU","TabTip","1.6","seg CPU acumulados","PID=57816 Ruta=","Info"
"TopCPU","sihost","1.1","seg CPU acumulados","PID=57196 Ruta=C:\Windows\system32\sihost.exe","Info"
"Sistema","ProcesosActivos","403","","","Info"
"Sistema","HilosTotales","5186","","","Info"
"Sistema","Identificadores","189564","","","Info"
"Disco","Volumen C:","11.5","% libre","40.33 GB libres de 349.9 GB","ADVERTENCIA"
"Disco","Volumen D:","79.3","% libre","7.92 GB libres de 10 GB","OK"
"Disco","Volumen E:","26.3","% libre","210.02 GB libres de 800 GB","OK"
"Disco","Volumen F:","60.9","% libre","103.59 GB libres de 170 GB","OK"
"Disco","Volumen G:","30.5","% libre","152.73 GB libres de 500 GB","OK"
"Disco","Volumen I:","91.8","% libre","41.32 GB libres de 45 GB","OK"
"Disco","LatenciaPromedio","0.6","ms","Referencia: > 25 ms indica saturacion de E/S","OK"
"Red","Ethernet","100","Gbps","MAC=FA-16-3E-DC-DE-E5 Driver=62.6.101.58000","Info"
"Red","Ethernet - trafico","813.67","GB recibidos","Enviados: 1340.52 GB | Descartes entrada: 0","Info"
"Sistema","TiempoActividad","17.06","dias","Ultimo arranque: 2026-07-25 17:20","Info"
"Sistema","ApagadosInesperados30d","1","","2026-07-25 17:07","ADVERTENCIA"
